name,company_name,phone,email,address,landmark,website,industry_type,service_type,call_type,schedule_date,status,call_type,schedule_date,call_type
Bengal ,Bengal Traditional Nursery,9333227579,NA,"Harinkhola, Chakla",NA,NA,Nursury Plant,N/A,Warm Call,18-01-2025,Pending,Warm Call,########,call_type
Green,Green Land Nursery,6297001910,NA,Land Nursury,NA,https://greenlandsnursery.com/,Nursury,N/A,Warm Call,28-12-2024,Pending,Warm Call,########,call_type
A,A J BENGAL FARM,8368642823,NA,"Shohai Khanpur, Deganga",NA,NA,Nursury,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
SARIKA,SARIKA NURSERY,9593252169,NA,NURSERY NURsuRY,NA,https://sarikanursery.com/,NURSERY,N/A,Warm Call,30-01-2025,Pending,Warm Call,########,call_type
Kiaan,Kiaan Nursery (kiaan's),9038823613,NA,Nursery (kiaan'ssus),NA,NA,NURSERY,N/A,Warm Call,13-12-2024,Pending,Warm Call,########,call_type
Imran,Imran Nursery,9832451076,NA,BURI HAT KHOLA ,NA,NA,NURSERY,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Nirala,Nirala Restaurent wine shop and bar,095640 97539,NA,JM2J+CQ2,NA,NA,Wine Shop,N/A,Warm Call,14-12-2024,Pending,Warm Call,########,call_type
MALANCHA,MALANCHA BAZAR F.L OFF SHOP,097337 88237,NA,"BUS-STAND, 7441",NA,NA,Wine Shop,N/A,Warm Call,17-01-2025,Pending,Warm Call,########,call_type
Shadow,Shadow The Unisex Gym,06295 822 616,NA,"Habra, West Bengal",NA,NA,Gym Center,N/A,Warm Call,10-12-2024,Pending,Warm Call,########,call_type
Triple,Triple 1 fitness studio,098308 71707,NA,"235, Gopal Lal Tagore Rd",NA,NA,Gym Center,N/A,Warm Call,23-12-2024,Pending,Warm Call,########,call_type
Sattva,Sattva Yoga Centre,090880 25226,NA,"Kolkata, West Bengal",NA,https://www.sattvayog.com/,Yoga Centre,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Tuhin,Tuhin Builders & Sanitary Mart,087592 10218,NA,Deganga Bhasila Haroa Road,NA,NA,Builders,N/A,Warm Call,25-11-2024,Pending,Warm Call,########,call_type
Best,"Best Commerce classes, Home tuition in Baguiati Rajarhat Newtown",098748 43333,NA,"Jardabagan, Hatiara Rd",NA,NA,Coaching Center,N/A,Warm Call,02-01-2025,Pending,Warm Call,########,call_type
K,K C DAS SALON & SPA | Best Hair & Skin Care Beauty Parlour in Chinsurah,089102 90603,NA,NA,NA,NA,Beauty Clinic,N/A,Warm Call,19-11-2024,Pending,Warm Call,########,call_type
Hamid,Hamid Polly Clinic,094346 20227,NA,NA,NA,NA,Beauty Clinic,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
Trimurti,Trimurti Tour And Travels,096799 04627,NA,NA,NA,NA,Travel Agency,N/A,Warm Call,06-01-2025,Pending,Warm Call,########,call_type
Jayanti,Jayanti Travels,098514 01188,NA,"Stop, As79, Ashoknagar, Sherpur, Sanimandir Road",NA,NA,Travel Agency,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
MOBILE,"MOBILE FIX SELL& SERVICE CENTER|""Was an amazing experience with mobile fix give a great service.""",074780 43610,NA,"NA Basirhat To Malancha Road, Bazar, RN Rd, near Super Market",NA,NA,Mobile Store,N/A,Warm Call,NA,Pending,Warm Call,########,call_type
Raj,Raj Watch,097326 15857,NA,"MV79+3HQ, Road Notun Bazar Ukil Para Basirhat Near State Bank of India, Habra - Basirhat Rd",NA,NA,Mobile Store,N/A,Warm Call,19-11-2024,Pending,Warm Call,########,call_type
Sri,Sri Kishna Mobile,074073 01004,NA,"SH 2 Basirhat, falguni hall west site",NA,NA,Mobile Store,N/A,Warm Call,03-01-2025,Pending,Warm Call,########,call_type
